connector,pin,official_DK_name,STM32_or_role,classification,PCB_glove_net_or_alias,DK_board_view,breakout_mating_view,cable_view_group,cable_cavity,breakout_contact_disposition,notes
CN8,8,VIN,DK positive rail,"DK POSITIVE POWER — NO ELECTRICAL CONNECTION",NONE,"Pin 8 follows official progression","Opposing mating face; red DNC mark",NONE,NONE,"Isolated NPTH/no copper/no solder/no wire/no test point","No harness conductor under any condition"
CN11,1,RX/D0,PF6,unused,NONE,"MB1939 bottom/mating face pin 1","Mirror once from MB1939 bottom view; marked pin 1",NONE,NONE,"Isolated NPTH/no copper/no solder/no wire","UART-related contact intentionally unused"
CN11,2,TX/D1,PD5,unused,NONE,"Pin 2 follows official progression","Opposing mating face; same electrical pin number",NONE,NONE,"Isolated NPTH/no copper/no solder/no wire","UART-related contact intentionally unused"
CN11,3,D2/INT0,PD0,used signal,IMU_RING_INT1 / IMU_INT4,"Pin 3 follows official progression","Opposing mating face; route only numbered pad",INT,5,"Copper pad and labeled pigtail","GPIO/EXTI0 input"
CN11,4,D3/PWM/INT1,PE9,used signal,IMU_MIDDLE_INT1 / IMU_INT3,"Pin 4 follows official progression","Opposing mating face; route only numbered pad",INT,4,"Copper pad and labeled pigtail","GPIO/EXTI9 input"
CN11,5,D4,PH5,used signal,IMU_INDEX_INT1 / IMU_INT2,"Pin 5 follows official progression","Opposing mating face; route only numbered pad",INT,3,"Copper pad and labeled pigtail","GPIO/EXTI5 input"
CN11,6,D5/PWM,PE10,used signal,IMU_THUMB_INT1 / IMU_INT1,"Pin 6 follows official progression","Opposing mating face; route only numbered pad",INT,1,"Copper pad and labeled pigtail","GPIO/EXTI10 input"
CN11,7,D6/PWM,PE13,used signal,IMU_PINKY_CS_N / IMU_CS5,"Pin 7 follows official progression","Opposing mating face; route only numbered pad",CS,6,"Copper pad and labeled pigtail","GPIO output; safe reset/boot state remains Phase 1 blocker"
CN11,8,D7,PD6,used signal,IMU_RING_CS_N / IMU_CS4,"Pin 8 follows official progression","Opposing mating face; route only numbered pad",CS,5,"Copper pad and labeled pigtail","GPIO output; safe reset/boot state remains Phase 1 blocker"
CN12,1,D8,PE7,used signal,IMU_MIDDLE_CS_N / IMU_CS3,"MB1939 bottom/mating face pin 1","Mirror once from MB1939 bottom view; marked pin 1",CS,4,"Copper pad and labeled pigtail","GPIO output; safe reset/boot state remains Phase 1 blocker"
CN12,2,D9/PWM,PE14,used signal,IMU_INDEX_CS_N / IMU_CS2,"Pin 2 follows official progression","Opposing mating face; route only numbered pad",CS,3,"Copper pad and labeled pigtail","GPIO output; safe reset/boot state remains Phase 1 blocker"
CN12,3,D10/CS/PWM,PA3,used signal,IMU_THUMB_CS_N / IMU_CS1,"Pin 3 follows official progression","Opposing mating face; route only numbered pad",CS,1,"Copper pad and labeled pigtail","GPIO/SPI CS candidate; safe reset/boot state remains blocker"
CN12,4,D11/MOSI/PWM,PG2,used signal,IMU_SPI_MOSI / SPI5_MOSI,"Pin 4 follows official progression","Opposing mating face; route only numbered pad",SPI,5,"Copper pad and labeled pigtail","SPI5 AF5 selected"
CN12,5,D12/MISO,PH8,used signal,IMU_SPI_MISO / SPI5_MISO,"Pin 5 follows official progression","Opposing mating face; route only numbered pad",SPI,3,"Copper pad and labeled pigtail","SPI5 AF5 selected"
CN12,6,D13/SCK,PE15,used signal,IMU_SPI_SCK / SPI5_SCK,"Pin 6 follows official progression","Opposing mating face; route only numbered pad",SPI,1,"Copper pad and labeled pigtail","SPI5 AF5 selected"
CN12,7,GND,signal reference,used ground,GND,"Pin 7 follows official progression","Opposing mating face; route ground",SPI,2,"Copper pad and black pigtail","Primary signal-adjacent SPI return"
CN12,8,AREF,reference,unused,NONE,"Pin 8 follows official progression","Opposing mating face; same electrical pin number",NONE,NONE,"Isolated NPTH/no copper/no solder/no wire","Visible DNC"
CN12,9,SDA,GPIO,unused,NONE,"Pin 9 follows official progression","Opposing mating face; same electrical pin number",NONE,NONE,"Isolated NPTH/no copper/no solder/no wire","Visible DNC"
CN12,10,SCL,GPIO,unused,NONE,"Pin 10 follows official progression","Opposing mating face; same electrical pin number",NONE,NONE,"Isolated NPTH/no copper/no solder/no wire","Visible DNC"
