input_id,description,component_or_scope,class,units,min,nom,max,source,source_date,confidence,disposition,closing_use,notes
HDR_BODY_HEIGHT,Header housing height,77311-101-xxLF,manufacturer,mm,,2.54,,Amphenol exact product page and 77311 drawing,2026-07-14,HIGH,OFFICIAL_CLOSURE_REQUIRED,vertical,Min/max not published on product page
HDR_POST_LENGTH,Exposed mating post length,77311-101-xxLF,manufacturer,mm,,5.84,,Amphenol exact product page and 77311 drawing,2026-07-14,HIGH,OFFICIAL_CLOSURE_REQUIRED,engagement,Min/max not recovered from released drawing
HDR_TAIL_LENGTH,Solder-tail length,77311-101-xxLF,manufacturer,mm,,2.41,,Amphenol exact product page and 77311 drawing,2026-07-14,HIGH,OFFICIAL_CLOSURE_REQUIRED,tail,Min/max not recovered from released drawing
HDR_OVERALL_PIN,Overall pin length,77311-101-xxLF,manufacturer,mm,,10.80,,Amphenol exact product page,2026-07-14,HIGH,CONTROLLED_NOMINAL,vertical,Nominal consistency check: 5.84+2.54+2.41=10.79 due rounding
HDR_POST_WIDTH_DRAWING,Square post width on drawing,77311-101-xxLF,manufacturer,mm,,0.62,,Amphenol 77311 drawing,2026-07-14,MEDIUM,OFFICIAL_CLOSURE_REQUIRED,lateral,Product/distributor data commonly round to 0.64 mm; exact tolerance required
HDR_PITCH,Pin pitch,77311-101-xxLF,manufacturer,mm,,2.54,,Amphenol exact product page,2026-07-14,HIGH,OFFICIAL_CLOSURE_REQUIRED,lateral,Pitch tolerance and cumulative strip tolerance unavailable
HDR_PCB_THICKNESS_RANGE,Published supported PCB thickness,77311-101-xxLF,manufacturer,mm,1.60,,2.36,Amphenol exact product page,2026-07-14,HIGH,CONTROLLED_RANGE,tail,Does not prove tail protrusion or solder acceptance at tolerance limits
NOMINAL_BOARD_GAP,Derived fully seated board-face gap,DK to interposer,project,mm,,12.32,,9.78+2.54,2026-07-14,MEDIUM,NOMINAL_ONLY,vertical,Must not be used as a fixed support height without measured/controlled tolerances
MB1939_RAW_STACK,Raw native stack including solder mask,MB1939,board,mm,,1.5139924,,Official ST MB1939 PcbDoc stack extraction,2024-12-06,HIGH,NOMINAL_ONLY,vertical,No independent finished thickness field or tolerance
MB1939_LOCAL_FLATNESS,Local DK board flatness across connector field,MB1939,board,mm,,,,Official ST MB1939 package reviewed,2026-07-14,LOW,MEASUREMENT_REQUIRED,coplanarity,No fabrication or as-assembled flatness limit found
MB1939_SOCKET_SEATING,As-assembled SSW seating-height spread,MB1939 assembly,board,mm,,,,Official ST MB1939 package reviewed,2026-07-14,LOW,MEASUREMENT_REQUIRED,coplanarity,Native CAD proves nominal plane only
MB1939_SOCKET_POSITION,As-assembled relative position/rotation of four sockets,MB1939 assembly,board,mm,,,,Official ST MB1939 package reviewed,2026-07-14,LOW,MEASUREMENT_REQUIRED,lateral,Nominal coordinates are exact but tolerance is absent
INT_STD_THICKNESS,Standard candidate finished thickness,PCB_glove interposer,fabricator,mm,1.44,1.60,1.76,JLCPCB published +/-10 percent capability,2026-07-14,HIGH,CONTROLLED_STANDARD,tail,Selected only as cost baseline; not sufficient for Task E
INT_TIGHT_THICKNESS,Requested tighter finished thickness,PCB_glove interposer,project,mm,1.50,1.60,1.70,Project RFQ target,2026-07-14,MEDIUM,FABRICATOR_ACCEPTANCE_REQUIRED,tail,Not a published JLCPCB commitment
INT_ALT_THIN,Alternative 1.20 mm standard board,PCB_glove interposer,fabricator,mm,1.08,1.20,1.32,JLCPCB published +/-10 percent capability,2026-07-14,HIGH,REJECTED,tail,More protrusion but reduced rigidity/increased bow risk
INT_ALT_THICK,Alternative 2.00 mm standard board,PCB_glove interposer,fabricator,mm,1.80,2.00,2.20,JLCPCB published +/-10 percent capability,2026-07-14,HIGH,REJECTED,tail,Only 0.21 mm nominal-tail protrusion at max board thickness
PTH_FINISHED_HOLE,Provisional finished hole for 0.62/0.64 square post,Interposer,fabricator,mm,0.92,1.00,1.13,JLCPCB PTH tolerance +0.13/-0.08 mm,2026-07-14,HIGH,FABRICATOR_AND_AMPHENOL_ACCEPTANCE_REQUIRED,lateral,Footprint editing remains unauthorized
PTH_POSITION,Published hole-position capability,Interposer,fabricator,mm,-0.05,0,0.05,JLCPCB PCB capability page,2026-07-14,HIGH,CONTROLLED_STANDARD,lateral,Does not include post/pitch/socket/assembly tolerances
BOARD_BOW_STANDARD,General SMT board bow/twist reference,Interposer,fabricator,percent,0,0,0.75,JLCPCB warpage guidance citing IPC limits,2026-07-14,MEDIUM,NOT_ACCEPTED_FOR_GATE,coplanarity,0.75 percent over 71.649 mm equals 0.537 mm
BOARD_BOW_TARGET,Project RFQ local bow/twist target across connector field,Interposer,project,percent,0,0,0.15,Project requirement derived from 0.51 mm nominal max-depth margin,2026-07-14,MEDIUM,FABRICATOR_ACCEPTANCE_REQUIRED,coplanarity,Must be measured after assembly over the connector field
ASSEMBLY_PROCESS,Controlled four-strip assembly process,Interposer assembly,assembler,text,,dedicated carrier plus simultaneous mate-during-solder fixture,,Project requirement,2026-07-14,HIGH,ASSEMBLER_ACCEPTANCE_REQUIRED,process,Loose independent hand soldering is rejected
ASSEMBLY_SEATING_SPREAD,Maximum four-header seating-height spread,Interposer assembly,assembler,mm,,,,Assembler inquiry,2026-07-14,LOW,ASSEMBLER_ACCEPTANCE_REQUIRED,coplanarity,Critical blocker
ASSEMBLY_LATERAL_SPREAD,Maximum relative X/Y/rotation spread after solder,Interposer assembly,assembler,mm,,,,Assembler inquiry,2026-07-14,LOW,ASSEMBLER_ACCEPTANCE_REQUIRED,lateral,Critical blocker
SUPPORT_SCHEME,Non-connector support concept,Carrier,project,text,,three-point adjustable floating support set after full connector seating,,Project concept,2026-07-14,MEDIUM,MEASUREMENT_REQUIRED,support,No fixed 12.32 mm standoff and no connector structural reliance
SUPPORT_CLEARANCE,Unloaded clearance above measured fully seated plane,Carrier,project,mm,0.05,0.10,0.15,Project concept,2026-07-14,MEDIUM,MEASUREMENT_REQUIRED,support,Set from measured assembly; not from nominal CAD
ENGAGEMENT_MARGIN_REQ,Required margin from each insertion limit,All four connectors,project,mm,0.25,0.25,0.25,Proposal 015F authorization,2026-07-14,HIGH,CONTROLLED,gate,Zero or negative is automatic failure
TAIL_PROTRUSION_REQ,Provisional minimum lead beyond finished PCB before solder,All headers,project,mm,0.25,0.25,0.25,Project assembly criterion,2026-07-14,MEDIUM,ASSEMBLER_ACCEPTANCE_REQUIRED,tail,Assembler must confirm solder-fill and protrusion acceptance
